Ex Num,Type,Text,Output,Original Text,Option A,Option B,Option C,Target,Unnamed: 9
13.0,Base,"Applied to health care, the longer we wait for it, the worse off we are and the longer we put it off the longer it will take to fine tune it. The shorter we wait for it, the better off we are. We wait for it longer in California than we do in Ohio. How well off are we in California, compared to in Ohio",better off,"Applied to health care, the longer we wait for it the worse off we are and the longer we put it off the longer it will take to fine tune it. ",better off,worse off,not enough information,A,
23.0,Base,"The harder they come, the harder they fall. The less hard they come, the less hard they fall. They came harder towards me than they came towarrds my friend. How hard did they fall towards me, compared to towards my friend? ",harder,"The harder they come, the harder they fall.",harder,less hard,not enough information,A,
48.0,Base,"The more that he says, the less I wanna say. The less that he says, the more I want to say. He says more on the weekend than he does during the week. How much do I want to say on the weekend, compared to during the week?",less,"The more that he says, the less I wanna say.",say less,say more,not enough information,A,
27.0,Base,"What Fox News/Republicans don't seem to understand is that the bigger a movement gets, the more trouble-makers it is going to attract. The smaller a movement gets, the less trouble-makers it is going to attract. The anti-car movement has gotten larger than the anti-bicycle movement. How many trouble makers will the anti-car movement attract, compared to the anti-bicycle movement?",more trouble-makers,"What Fox News/Republicans don't seem to understand is that the bigger a movement gets, the more trouble-makers it is going to attract.",more trouble-makers,less trouble-makers,not enough information,A,
12.0,Base,"Personally I think it's a very good thing, since our NHS should be working to treat all of the world's sick people and the more diseased immigrants we have, the more good it can do for them. The less diseased immigrants we have, the less good it can do for them. There are more diseased immigrants in December than there are in November. How much good will the NHS do in December, compared to in November?",more good,"Personally I think it's a very good thing, since our NHS should be working to treat all of the world's sick people and the more diseased immigrants we have, the more good it can do for them.",more good,less good,not enough information,A,
43.0,Base,It becomes an obsession lightly because the more fish you catch the higher your adrenaline flows. The less fish you catch the lower your adrenaline flows. I catch more fish at night than I do in the morning. How high is my adrenaline flowing at night compared to in the morning?,flowing more/higher,It becomes an obsession lightly because the more fish you catch the higher your adrenaline flows.,flowing more,flowing less,not enough information,A,
41.0,Base,"Bill, the more I read your stuff, the more I am convinced that you have a black heart. The less I read your stuff, the less I am convinced you have a black heart. I read more of your stuff in December than I do in August. How convinced am I that you have a black heart in December, compared to in August?",more convinced,"Bill, the more I read your stuff, the more I am convinced that you have a black heart.",more convinced,less convinced,not enough information,A,
22.0,Base,"The more snow, the less danger there is to skiers. The less snow, the more danger there is to skiers. There is more snow in Oregon than in Washington. How much danger is there to skiers in Oregon compared to in Washington?",less danger,"The more snow, the less danger there is to skiers.",more danger,less danger,not enough information,B,
8.0,Base,"The longer the rain lasted, the more quickly the ramparts melted. The shorter the rain lasted, the slower the ramparts melted. The rain lasted longer in Boston than it did in New York. How fast did the ramparts melt in Boston, compared to in New York?",more quickly,"The longer the rain lasted, the more quickly the ramparts melted.",less quickly,more quickly,not enough information,B,
45.0,Base,"It is worth noting, however, that the more specific you are the better. The less specific you are the worse. You are more specific over the phone than you are in person. Are you better or worse over the phone, compared to in person?",better,"It is worth noting, however, that the more specific you are the better.",worse,better,not enough information,B,
